screen_name,created_at,tweet_id,text,extended_tweet,in_reply_to_screen_name,in_reply_to_status_id,retweet_count,favorite_count,truncated,language
MicrochipTech,4/24/2020 19:01,1.25376E+18,Design your Bluetooth® IoT device with our PIC- or AVR-BLE development boards. Get 50% off now through the end of A… https://t.co/UL3qnjvum6,Design your Bluetooth® IoT device with our PIC- or AVR-BLE development boards. Get 50% off now through the end of A… https://t.co/UL3qnjvum6,,,5,9,,en
cbrands,2/20/2020 5:34,1.23036E+18,"“Early in my career, I understood that I could not bring my best game to bear unless I could bring my whole self to… https://t.co/vtHhTcw6CM","“Early in my career, I understood that I could not bring my best game to bear unless I could bring my whole self to… https://t.co/vtHhTcw6CM",,,2,17,,en
Medtronic,3/30/2020 13:02,1.24461E+18,Medtronic is mobilizing to help during #COVID19. We are gathering #ENT experts from around the world to discuss and… https://t.co/9fphEQtjwQ,Medtronic is mobilizing to help during #COVID19. We are gathering #ENT experts from around the world to discuss and… https://t.co/9fphEQtjwQ,,,44,109,,en
salesforce,4/30/2020 17:39,1.25591E+18,"Our team at @SFResearch, led by @RichardSocher launched the 𝑨𝑰 𝑬𝒄𝒐𝒏𝒐𝒎𝒊𝒔𝒕, an AI framework for economic policy desig… https://t.co/QYX2kEoQqw","Our team at @SFResearch, led by @RichardSocher launched the 𝑨𝑰 𝑬𝒄𝒐𝒏𝒐𝒎𝒊𝒔𝒕, an AI framework for economic policy desig… https://t.co/QYX2kEoQqw",,,6,22,,en
Hologic,5/13/2020 22:59,1.26071E+18,Thank you @RepLoriTrahan.  We appreciate your support! We are #StrongerTogether. https://t.co/aOON48Ls9E,Thank you @RepLoriTrahan.  We appreciate your support! We are #StrongerTogether. https://t.co/aOON48Ls9E,,,2,5,,en
ViacomCBS,3/27/2020 21:47,1.24366E+18,"In his 1st late-night TV interview, on “The Daily Social Distancing Show with @Trevornoah,” @NIAIDNews director Dr.… https://t.co/1HZuRzbqsL","In his 1st late-night TV interview, on “The Daily Social Distancing Show with @Trevornoah,” @NIAIDNews director Dr.… https://t.co/1HZuRzbqsL",,,9,20,,en
SVB_Financial,5/2/2020 15:00,1.2566E+18,"SVB's @katherun is joining industry experts from @PitchBook, @nvca &amp; @cartainc for the Q1 #VentureMonitor webinar.… https://t.co/cWEDfwSMA4","SVB's @katherun is joining industry experts from @PitchBook, @nvca &amp; @cartainc for the Q1 #VentureMonitor webinar.… https://t.co/cWEDfwSMA4",,,6,16,,en
SempraEnergy,5/4/2020 11:01,1.25726E+18,Sempra Energy reports first-quarter 2020 earnings results. Read more: https://t.co/p4co4FFu5o,Sempra Energy reports first-quarter 2020 earnings results. Read more: https://t.co/p4co4FFu5o,,,2,7,,en
Paycom,1/10/2020 0:15,1.21543E+18,"Unfortunately, almost half of #resolutions are broken by the middle of January. In the new year, employers can help… https://t.co/WAz1qB8Pd5","Unfortunately, almost half of #resolutions are broken by the middle of January. In the new year, employers can help… https://t.co/WAz1qB8Pd5",,,0,1,,en
cardinalhealth,2/3/2020 19:00,1.22441E+18,"Register now: Prevention has always been vital a component of wound care, but with antimicrobial resistance on the… https://t.co/zrRDfuecZc","Register now: Prevention has always been vital a component of wound care, but with antimicrobial resistance on the… https://t.co/zrRDfuecZc",,,0,0,,en
FTI_Global,4/20/2020 22:00,1.25236E+18,Hear why the current market environment is much different than the Global Financial Crisis in 2008 with Stephen Dov… https://t.co/3QggyTDA1M,Hear why the current market environment is much different than the Global Financial Crisis in 2008 with Stephen Dov… https://t.co/3QggyTDA1M,,,0,2,,en
Hasbro,2/22/2020 22:03,1.23134E+18,"G.I. Joe fans, pre-order is now live for these 6” Core Figures!

Deluxe Snake Eyes: https://t.co/x3a8VNIZ8G

Scarle… https://t.co/FrWlqzMfoP","G.I. Joe fans, pre-order is now live for these 6” Core Figures!

Deluxe Snake Eyes: https://t.co/x3a8VNIZ8G

Scarle… https://t.co/FrWlqzMfoP",,,70,234,,en
intel,4/29/2020 20:09,1.25559E+18,"Behind it all, our partners are solving critical problems. That’s why we’re accelerating access to technology like… https://t.co/1ZCgJdaUQ7","Behind it all, our partners are solving critical problems. That’s why we’re accelerating access to technology like… https://t.co/1ZCgJdaUQ7",,,36,138,,en
