file_path,text,labels,,,,,
,Design your Bluetooth® IoT device with our PIC- or AVR-BLE development boards. Get 50% off now through the end of A… https://t.co/UL3qnjvum6,Prodct_Public_Relat,,,,,
,"“Early in my career, I understood that I could not bring my best game to bear unless I could bring my whole self to… https://t.co/vtHhTcw6CM",Brand_Public_Relat,,,,,
,Medtronic is mobilizing to help during #COVID19. We are gathering #ENT experts from around the world to discuss and… https://t.co/9fphEQtjwQ,Pure_Public_Relat,,,,,
,"Our team at @SFResearch, led by @RichardSocher launched the ???? ??????????????????, an AI framework for economic policy desig… https://t.co/QYX2kEoQqw",Prodct_Public_Relat,,,,,
,Thank you @RepLoriTrahan.  We appreciate your support! We are #StrongerTogether. https://t.co/aOON48Ls9E,Employee_Public_Relat,,,,,
,"In his 1st late-night TV interview, on “The Daily Social Distancing Show with @Trevornoah,” @NIAIDNews director Dr.… https://t.co/1HZuRzbqsL",Pure_Public_Relat,,,,,
,"SVB's @katherun is joining industry experts from @PitchBook, @nvca &amp; @cartainc for the Q1 #VentureMonitor webinar.… https://t.co/cWEDfwSMA4",Pure_Public_Relat,,,,,
,Sempra Energy reports first-quarter 2020 earnings results. Read more: https://t.co/p4co4FFu5o,Pure_Public_Relat,,,,,
,"Unfortunately, almost half of #resolutions are broken by the middle of January. In the new year, employers can help… https://t.co/WAz1qB8Pd5",Employee_Public_Relat,,,,,
,"Register now: Prevention has always been vital a component of wound care, but with antimicrobial resistance on the… https://t.co/zrRDfuecZc",Pure_Public_Relat,,,,,
,Hear why the current market environment is much different than the Global Financial Crisis in 2008 with Stephen Dov… https://t.co/3QggyTDA1M,Pure_Public_Relat,,,,,
,"G.I. Joe fans, pre-order is now live for these 6” Core Figures!

Deluxe Snake Eyes: https://t.co/x3a8VNIZ8G

Scarle… https://t.co/FrWlqzMfoP",Prodct_Public_Relat,,,,,
,"Behind it all, our partners are solving critical problems. That’s why we’re accelerating access to technology like… https://t.co/1ZCgJdaUQ7",Pure_Public_Relat,,,,,
,Heads up! Watch to learn which common things you should think twice about before washing down the drain. #FOG… https://t.co/8KSSMhoeCn,Produc_Brand_Public_Relat,,,,,
,"Our #COVID19 objectives remain to: protect our employees, supply our medicines + vaccines, contribute our scientifi… https://t.co/FyeMrmKLP1",Brand_Public_Relat,,,,,
,"Here at #Micron, our team members are participating in an 8-week well-being ?? challenge. What are you doing to stay… https://t.co/9aFdwJHec7",Employee_Public_Relat,,,,,
,"He's been described as ""kind of indispensable around here."" Get to know more about J.B. Hunt Final Mile driver trai… https://t.co/Lx0m0OgIPS",Employee_Public_Relat,,,,,
,"Keeping your blood pressure at a healthy level is always important, particularly during the #COVID19 crisis. Connec… https://t.co/zIQmCf0ASO",Pure_Public_Relat,,,,,
,"Bullseye, old soul, extremely loyal, considers going to Target a date, never says no to treats or a run, career-foc… https://t.co/9KizHWZdQZ",Pure_Public_Relat,,,,,
,We're proud to be named a Top 50 employer for women engineers by Woman Engineer magazine. Our exceptional women are… https://t.co/HVNaknCZh3,Employee_Public_Relat,,,,,
,"CBP Opens Registration for 2020 Trade Symposium
https://t.co/iMlLneKyVu",Pure_Public_Relat,,,,,
,"“Today, we announced a significant increase in our dividend, and we are purposely investing to drive not only a str… https://t.co/faP55nIkUz",Pure_Public_Relat,,,,,
,"Addressable TV is advancing new ways of marketing. ?? 

Our GM of Advanced Advertising @kellyabcarian details how in… https://t.co/dWbfRTtP6o",Pure_Public_Relat,,,,,
,"Our business continuity, technology, operations, claim and worksite-essential teams are leading our efforts to ensu… https://t.co/sNqYjjo7Ka",Pure_Public_Relat,,,,,
,"Subscribe to our channel to keep up to date with new products for sterile to harsh applications for the chemical, b… https://t.co/ShF7mTobTK",Produc_Brand_Public_Relat,,,,,
,"Wishing You a Prosperous Lunar New Year

May your new year be filled with happiness, good health and good fortune… https://t.co/PJDKPDOJWg",Pure_Public_Relat,,,,,
,Start the new year off by attending the Mechanical Seal Fundamentals course offered by Flowserve. Learn more about… https://t.co/pmvZdMoopG,Prodct_Public_Relat,,,,,
,Penne Thornett wants to be known as a leader who helps others realize their potential. What’s her superpower?… https://t.co/IPaT9Jphzo,Brand_Public_Relat,,,,,
,"Using beaches around the world as his canvas, artist @andresamadorart stepped off the page and onto the sand to cre… https://t.co/CqYBvKnacS",Brand_Public_Relat,,,,,
,Sustainable businesses need sustainable supply chains. Kellogg Company is proud to be recognized by @CDP for our wo… https://t.co/zrwl7yU9bG,Brand_Public_Relat,,,,,
